[MASTER] 01:07:12.596 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:13.430 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:14.824 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:17.538 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:17.778 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:23.050 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:25.204 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:27.892 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:32.029 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:33.841 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:36.968 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:38.393 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:45.501 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:47.106 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
[MASTER] 01:07:47.497 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<SolutionCounter>[] negationDecoratorArray0 = (NegationDecorator<SolutionCounter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<SolutionCounter>) negationDecoratorArray0; SUT=org.sat4j.tools.CheckMUSSolutionListener
