[MASTER] 16:38:51.411 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:01.388 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:06.075 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:07.514 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:09.435 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:12.759 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:12.848 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:12.906 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:13.091 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:14.779 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:15.589 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:17.079 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:19.927 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:23.164 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:23.454 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:24.450 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:25.111 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:25.595 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:25.750 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:32.421 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:32.551 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:33.528 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:35.654 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:38.387 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:38.389 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:38.584 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:38.766 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:40.395 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 3), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:41.876 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:41.957 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:43.127 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:44.453 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:47.387 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:47.528 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:54.037 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:54.479 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:54.543 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<Minimal4InclusionModel>[] negationDecoratorArray0 = (NegationDecorator<Minimal4InclusionModel>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<Minimal4InclusionModel>) negationDecoratorArray0; SUT=org.sat4j.reader.Reader
[MASTER] 16:39:56.130 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielHT>[] solverArray0 = (Solver<MixedDataStructureDanielHT>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielHT>) solverArray0; SUT=org.sat4j.reader.Reader
