[MASTER] 03:49:04.250 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:04.777 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:05.363 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:05.507 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:05.851 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:06.080 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:06.217 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:06.909 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:07.294 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:07.503 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:07.862 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:08.991 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:09.316 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:10.742 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
[MASTER] 03:49:10.746 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<Minimal4InclusionModel>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 1), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<Minimal4InclusionModel>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.AIGReader
