[MASTER] 04:36:38.737 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 9), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:36:43.124 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:36:48.287 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:36:56.400 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:03.633 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:07.758 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.tools.FullClauseSelectorSolver<T> : Type points to itself
[MASTER] 04:37:07.758 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 04:37:08.563 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:15.830 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:18.227 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:22.652 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:23.088 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:27.040 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:38.276 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:43.313 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:44.035 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:48.610 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:49.500 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:51.233 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
[MASTER] 04:37:52.350 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<OptToSatAdapter>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<OptToSatAdapter>[]) Array.newInstance(FullClauseSelectorSolver.class, 7), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<OptToSatAdapter>) fullClauseSelectorSolverArray0; SUT=org.sat4j.tools.encoding.Binary
