[MASTER] 01:44:10.587 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:11.618 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:13.522 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 4), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:13.579 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:13.759 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:14.468 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:14.681 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:15.458 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 4), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:17.381 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 4), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:18.870 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:19.324 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:20.106 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:20.296 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:21.957 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:22.036 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:22.973 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:24.486 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 9), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:24.898 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
[MASTER] 01:44:26.578 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<MinOneDecorator>[] lexicoDecoratorArray0 = (LexicoDecorator<MinOneDecorator>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<MinOneDecorator>) lexicoDecoratorArray0; SUT=org.sat4j.OptimizationMode
