[MASTER] 09:46:56.232 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:46:57.135 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:00.080 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:01.448 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:01.769 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:02.911 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:03.745 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:03.926 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:11.140 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
[MASTER] 09:47:12.068 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<DimacsOutputSolver>[] lexicoDecoratorArray0 = (LexicoDecorator<DimacsOutputSolver>[]) Array.newInstance(LexicoDecorator.class, 5), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<DimacsOutputSolver>) lexicoDecoratorArray0; SUT=org.sat4j.minisat.orders.LevelBasedVarOrderHeap
