[MASTER] 00:17:38.236 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:40.229 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 1), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:44.088 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:44.530 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:47.104 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:48.453 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:49.899 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:57.352 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:58.640 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:17:59.409 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:00.635 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 1), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:01.772 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:02.163 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:04.333 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:05.791 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 1), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:06.670 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 1), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 00:18:11.874 [logback-2] ERROR AbstractStatement - Error assigning value of type LexicoDecorator[] defined at statement LexicoDecorator<OptToSatAdapter>[] lexicoDecoratorArray0 = (LexicoDecorator<OptToSatAdapter>[]) Array.newInstance(LexicoDecorator.class, 2), assignment statement: lexicoDecoratorArray0[0] = (LexicoDecorator<OptToSatAdapter>) lexicoDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
