[MASTER] 06:15:42.693 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:43.519 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:47.198 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:48.789 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:50.788 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:55.055 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:55.818 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:15:57.842 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:16:00.675 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
[MASTER] 06:16:02.503 [logback-2] ERROR AbstractStatement - Error assigning value of type FullClauseSelectorSolver[] defined at statement FullClauseSelectorSolver<MaxSatDecorator>[] fullClauseSelectorSolverArray0 = (FullClauseSelectorSolver<MaxSatDecorator>[]) Array.newInstance(FullClauseSelectorSolver.class, 4), assignment statement: fullClauseSelectorSolverArray0[0] = (FullClauseSelectorSolver<MaxSatDecorator>) fullClauseSelectorSolverArray0; SUT=org.sat4j.minisat.constraints.MixedDataStructureDanielWL
