[MASTER] 17:41:27.266 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:29.599 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:31.135 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:32.779 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:33.644 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:35.253 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:35.934 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:39.356 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:40.890 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:41.852 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:43.819 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:46.560 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:47.958 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:49.930 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:52.055 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:53.162 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:54.963 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:57.599 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:41:59.852 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:02.524 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:03.392 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:07.038 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:09.515 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:13.473 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:13.795 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:14.511 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:15.062 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:16.345 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:16.947 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:17.890 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:18.480 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:19.142 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:19.946 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:21.244 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:22.665 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:23.621 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:27.009 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:27.890 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:28.218 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
[MASTER] 17:42:29.287 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<ModelIterator>[] negationDecoratorArray0 = (NegationDecorator<ModelIterator>[]) Array.newInstance(NegationDecorator.class, 2), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<ModelIterator>) negationDecoratorArray0; SUT=org.sat4j.tools.ExtendedDimacsArrayReader
