[MASTER] 10:00:52.711 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:00:55.375 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:03.019 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:04.452 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:10.798 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:16.087 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:18.574 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:23.641 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:26.448 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:27.361 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:29.734 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:32.655 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:43.611 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:54.479 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:55.133 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
[MASTER] 10:01:56.509 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<OptToSatAdapter>[] negationDecoratorArray0 = (NegationDecorator<OptToSatAdapter>[]) Array.newInstance(NegationDecorator.class, 6), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<OptToSatAdapter>) negationDecoratorArray0; SUT=org.sat4j.minisat.constraints.cnf.Clauses
