[MASTER] 01:50:10.775 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 9), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:11.572 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:12.824 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:12.970 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 8), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:14.195 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:15.000 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:15.544 [logback-2] ERROR AbstractStatement - Error assigning value of type ClausalCardinalitiesDecorator[] defined at statement ClausalCardinalitiesDecorator<DimacsOutputSolver>[] clausalCardinalitiesDecoratorArray0 = (ClausalCardinalitiesDecorator<DimacsOutputSolver>[]) Array.newInstance(ClausalCardinalitiesDecorator.class, 9), assignment statement: clausalCardinalitiesDecoratorArray0[0] = (ClausalCardinalitiesDecorator<DimacsOutputSolver>) clausalCardinalitiesDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:18.369 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:19.268 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
[MASTER] 01:50:21.960 [logback-2] ERROR AbstractStatement - Error assigning value of type NegationDecorator[] defined at statement NegationDecorator<DimacsOutputSolver>[] negationDecoratorArray0 = (NegationDecorator<DimacsOutputSolver>[]) Array.newInstance(NegationDecorator.class, 5), assignment statement: negationDecoratorArray0[0] = (NegationDecorator<DimacsOutputSolver>) negationDecoratorArray0; SUT=org.sat4j.reader.DimacsReader
