execution_idx,application,class,clone_seed_p,LineCoverage_value,LineCoverage_evaluations,BranchCoverage_value,BranchCoverage_evaluations,ExceptionCoverage_value,ExceptionCoverage_evaluations,WeakMutation_value,WeakMutation_evaluations,OutputCoverage_value,OutputCoverage_evaluations,MethodCoverage_value,MethodCoverage_evaluations,CBranch_value,CBranch_evaluations,current_fitness_evaluations
1,1_tullibee,com.ib.client.EException,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.7777777777777778 ,"[0.7777777777777778 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,1_tullibee,com.ib.client.ExecutionFilter,1.0,1.0 ,"[0.7692307692307693 ,0][0.8461538461538461 ,0][0.9230769230769231 ,0][0.9615384615384616 ,0][1.0 ,0]",1.0 ,"[0.45 ,0][0.5 ,0][0.55 ,0][0.65 ,0][0.7 ,0][0.75 ,0][0.85 ,0][0.95 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.9423076923076923 ,"[0.27884615384615385 ,0][0.38461538461538464 ,0][0.4230769230769231 ,0][0.6346153846153846 ,0][0.6538461538461539 ,0][0.6634615384615384 ,0][0.6730769230769231 ,0][0.75 ,0][0.8846153846153846 ,0][0.9230769230769231 ,0][0.9423076923076923 ,0]",1.0 ,"[0.5 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.45 ,0][0.5 ,0][0.55 ,0][0.65 ,0][0.7 ,0][0.75 ,0][0.85 ,0][0.95 ,0][1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Authors,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.8936170212765957 ,0][0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.CustomerReview,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.8333333333333334 ,"[0.8333333333333334 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.BrowseList,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.90625 ,"[0.90625 ,0]",0.6666666666666666 ,"[0.6666666666666666 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Artists,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.ListingProductInfo,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9 ,"[0.9 ,0]",0.7777777777777778 ,"[0.4444444444444444 ,0][0.7777777777777778 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Mode,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0.9166666666666666 ,"[0.9166666666666666 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Accessories,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.8936170212765957 ,0][0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.FeedBack,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.8666666666666667 ,"[0.8666666666666667 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.BlendedSearch,1.0,1.0 ,"[0.9230769230769231 ,0][1.0 ,0]",1.0 ,"[0.9230769230769231 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.925 ,"[0.8 ,0][0.9 ,0][0.925 ,0]",0.6 ,"[0.4666666666666667 ,0][0.6 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.9230769230769231 ,0][1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.FullProduct,1.0,1.0 ,"[0.9259259259259259 ,0][1.0 ,0]",1.0 ,"[0.7619047619047619 ,0][0.9523809523809523 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.92 ,"[0.66 ,0][0.92 ,0]",0.8571428571428571 ,"[0.7142857142857143 ,0][0.7857142857142857 ,0][0.8571428571428571 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.7619047619047619 ,0][0.9523809523809523 ,0][1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Directors,1.0,1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",1.0 ,"[1.0 ,0]",0.9148936170212766 ,"[0.8936170212765957 ,0][0.9148936170212766 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",0.9375 ,"[0.9375 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.SellerProfile,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.6 ,"[0.6 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
1,2_a4j,net.kencochrane.a4j.beans.Items,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[0.8461538461538461 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.88 ,"[0.88 ,0]",0.75 ,"[0.75 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.8461538461538461 ,0][1.0 ,0]",
1,1_tullibee,com.ib.client.EClientErrors,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.25 ,"[0.25 ,0]",1.0 ,"[1.0 ,0]",0,,0.25 ,"[0.25 ,0]",1.0 ,"[1.0 ,0]",
