execution_idx,application,class,clone_seed_p,LineCoverage_value,LineCoverage_evaluations,BranchCoverage_value,BranchCoverage_evaluations,ExceptionCoverage_value,ExceptionCoverage_evaluations,WeakMutation_value,WeakMutation_evaluations,OutputCoverage_value,OutputCoverage_evaluations,MethodCoverage_value,MethodCoverage_evaluations,CBranch_value,CBranch_evaluations,current_fitness_evaluations
3,88_jopenchart,de.progra.charting.AbstractChart,1.0,0.9696969696969697 ,"[0.5757575757575758 ,0][0.8181818181818182 ,0][0.9393939393939394 ,0][0.9696969696969697 ,0]",0.95 ,"[0.6 ,0][0.8 ,0][0.9 ,0][0.95 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[0.5882352941176471 ,0][0.8823529411764706 ,0][0.9411764705882353 ,0][1.0 ,0]",0.5675675675675675 ,"[0.06756756756756757 ,0][0.08108108108108109 ,0][0.12162162162162163 ,0][0.2702702702702703 ,0][0.2972972972972973 ,0][0.3783783783783784 ,0][0.44594594594594594 ,0][0.5675675675675675 ,0]",0.9444444444444444 ,"[0.3888888888888889 ,0][0.6111111111111112 ,0][0.7222222222222222 ,0][0.7777777777777778 ,0][0.8333333333333334 ,0][0.8888888888888888 ,0][0.9444444444444444 ,0]",0.95 ,"[0.6 ,0][0.8 ,0][0.9 ,0][0.95 ,0]",
3,88_jopenchart,de.progra.charting.model.DefaultDataSet,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0.9230769230769231 ,"[0.38461538461538464 ,0][0.6153846153846154 ,0][0.7692307692307693 ,0][0.9230769230769231 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,88_jopenchart,de.progra.charting.model.EditableDataSet,1.0,1.0 ,"[0.8888888888888888 ,0][1.0 ,0]",1.0 ,"[0.8571428571428571 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.9761904761904762 ,"[0.7857142857142857 ,0][0.9523809523809523 ,0][0.9761904761904762 ,0]",0,,1.0 ,"[1.0 ,0]",1.0 ,"[0.8571428571428571 ,0][1.0 ,0]",
3,88_jopenchart,de.progra.charting.render.BarChartRenderer,1.0,0.31666666666666665 ,"[0.13333333333333333 ,0][0.21666666666666667 ,0][0.31666666666666665 ,0]",0.25 ,"[0.125 ,0][0.1875 ,0][0.25 ,0]",1.0 ,"[1.0 ,0]",0.07142857142857142 ,"[0.03571428571428571 ,0][0.07142857142857142 ,0]",0,,1.0 ,"[0.6666666666666666 ,0][1.0 ,0]",0.25 ,"[0.125 ,0][0.1875 ,0][0.25 ,0]",
3,88_jopenchart,de.progra.charting.render.AbstractChartRenderer,1.0,0.84375 ,"[0.34375 ,0][0.375 ,0][0.5 ,0][0.5625 ,0][0.71875 ,0][0.78125 ,0][0.8125 ,0][0.84375 ,0]",0.9375 ,"[0.375 ,0][0.4375 ,0][0.625 ,0][0.6875 ,0][0.875 ,0][0.9375 ,0]",1.0 ,"[0.2857142857142857 ,0][0.35714285714285715 ,0][1.0 ,0]",0.7083333333333334 ,"[0.041666666666666664 ,0][0.4583333333333333 ,0][0.625 ,0][0.6666666666666666 ,0][0.7083333333333334 ,0]",0.3978494623655914 ,"[0.08602150537634409 ,0][0.10752688172043011 ,0][0.11827956989247312 ,0][0.13978494623655913 ,0][0.15053763440860216 ,0][0.16129032258064516 ,0][0.17204301075268819 ,0][0.1827956989247312 ,0][0.3010752688172043 ,0][0.3763440860215054 ,0][0.3978494623655914 ,0]",0.9285714285714286 ,"[0.2857142857142857 ,0][0.35714285714285715 ,0][0.5714285714285714 ,0][0.6428571428571429 ,0][0.8571428571428571 ,0][0.9285714285714286 ,0]",0.9375 ,"[0.375 ,0][0.4375 ,0][0.625 ,0][0.6875 ,0][0.875 ,0][0.9375 ,0]",
3,88_jopenchart,de.progra.charting.render.InterpolationChartRenderer,1.0,0.8648648648648649 ,"[0.05405405405405406 ,0][0.13513513513513514 ,0][0.2702702702702703 ,0][0.4594594594594595 ,0][0.4864864864864865 ,0][0.5405405405405406 ,0][0.8108108108108109 ,0][0.8648648648648649 ,0]",0.7058823529411765 ,"[0.058823529411764705 ,0][0.11764705882352941 ,0][0.35294117647058826 ,0][0.4117647058823529 ,0][0.47058823529411764 ,0][0.6470588235294118 ,0][0.7058823529411765 ,0]",1.0 ,"[0.5 ,0][1.0 ,0]",0.8137254901960784 ,"[0.00980392156862745 ,0][0.0196078431372549 ,0][0.3235294117647059 ,0][0.46078431372549017 ,0][0.696078431372549 ,0][0.7352941176470589 ,0][0.8137254901960784 ,0]",0,,1.0 ,"[0.5 ,0][1.0 ,0]",0.7058823529411765 ,"[0.058823529411764705 ,0][0.11764705882352941 ,0][0.35294117647058826 ,0][0.4117647058823529 ,0][0.47058823529411764 ,0][0.6470588235294118 ,0][0.7058823529411765 ,0]",
3,88_jopenchart,de.progra.charting.event.ChartDataModelEvent,1.0,0.5 ,"[0.5 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",0.5 ,"[0.5 ,0]",
3,88_jopenchart,de.progra.charting.model.EditableChartDataModel,1.0,1.0 ,"[0.6382978723404256 ,0][0.7659574468085106 ,0][0.7872340425531915 ,0][0.851063829787234 ,0][0.8723404255319149 ,0][1.0 ,0]",1.0 ,"[0.5714285714285714 ,0][0.7857142857142857 ,0][0.8571428571428571 ,0][0.9285714285714286 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.9523809523809523 ,"[0.31746031746031744 ,0][0.5873015873015873 ,0][0.6349206349206349 ,0][0.8253968253968254 ,0][0.8412698412698413 ,0][0.9523809523809523 ,0]",0,,1.0 ,"[0.7272727272727273 ,0][0.9090909090909091 ,0][1.0 ,0]",1.0 ,"[0.5714285714285714 ,0][0.7857142857142857 ,0][0.8571428571428571 ,0][0.9285714285714286 ,0][1.0 ,0]",
3,88_jopenchart,de.progra.charting.DefaultChart,1.0,0.42857142857142855 ,"[0.23214285714285715 ,0][0.26785714285714285 ,0][0.2857142857142857 ,0][0.42857142857142855 ,0]",0.3 ,"[0.25 ,0][0.3 ,0]",1.0 ,"[1.0 ,0]",0.24285714285714285 ,"[0.15714285714285714 ,0][0.21428571428571427 ,0][0.24285714285714285 ,0]",0.14285714285714285 ,"[0.14285714285714285 ,0]",0.8333333333333334 ,"[0.5 ,0][0.8333333333333334 ,0]",0.3 ,"[0.25 ,0][0.3 ,0]",
3,88_jopenchart,de.progra.charting.ChartEncoder,1.0,0.8695652173913043 ,"[0.15217391304347827 ,0][0.34782608695652173 ,0][0.3695652173913043 ,0][0.391304347826087 ,0][0.4782608695652174 ,0][0.5 ,0][0.6739130434782609 ,0][0.8478260869565217 ,0][0.8695652173913043 ,0]",0.6666666666666666 ,"[0.3333333333333333 ,0][0.4444444444444444 ,0][0.5555555555555556 ,0][0.6666666666666666 ,0]",1.0 ,"[1.0 ,0]",0.75 ,"[0.041666666666666664 ,0][0.125 ,0][0.20833333333333334 ,0][0.5 ,0][0.75 ,0]",0.3333333333333333 ,"[0.3333333333333333 ,0]",0.8333333333333334 ,"[0.5 ,0][0.6666666666666666 ,0][0.8333333333333334 ,0]",0.6666666666666666 ,"[0.3333333333333333 ,0][0.4444444444444444 ,0][0.5555555555555556 ,0][0.6666666666666666 ,0]",
3,88_jopenchart,de.progra.charting.model.AbstractChartDataModel,1.0,0.8269230769230769 ,"[0.3269230769230769 ,0][0.5384615384615384 ,0][0.6538461538461539 ,0][0.6923076923076923 ,0][0.75 ,0][0.7884615384615384 ,0][0.8269230769230769 ,0]",0.6756756756756757 ,"[0.21621621621621623 ,0][0.3783783783783784 ,0][0.4864864864864865 ,0][0.5405405405405406 ,0][0.6216216216216216 ,0][0.6486486486486487 ,0][0.6756756756756757 ,0]",1.0 ,"[1.0 ,0]",0.46017699115044247 ,"[0.1504424778761062 ,0][0.34513274336283184 ,0][0.40707964601769914 ,0][0.4336283185840708 ,0][0.46017699115044247 ,0]",0.2972972972972973 ,"[0.04054054054054054 ,0][0.08108108108108109 ,0][0.21621621621621623 ,0][0.22972972972972974 ,0][0.25675675675675674 ,0][0.28378378378378377 ,0][0.2972972972972973 ,0]",0.9130434782608695 ,"[0.34782608695652173 ,0][0.43478260869565216 ,0][0.6086956521739131 ,0][0.6956521739130435 ,0][0.8260869565217391 ,0][0.8695652173913043 ,0][0.9130434782608695 ,0]",0.6756756756756757 ,"[0.21621621621621623 ,0][0.3783783783783784 ,0][0.4864864864864865 ,0][0.5405405405405406 ,0][0.6216216216216216 ,0][0.6486486486486487 ,0][0.6756756756756757 ,0]",
3,89_jiggler,jigl.image.types.MagnitudeImage,1.0,0.5833333333333334 ,"[0.5833333333333334 ,0]",0.5714285714285714 ,"[0.5714285714285714 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",0.42857142857142855 ,"[0.42857142857142855 ,0]",
3,88_jopenchart,de.progra.charting.CoordSystemUtilities,1.0,0.7044334975369458 ,"[0.28078817733990147 ,0][0.3694581280788177 ,0][0.37438423645320196 ,0][0.5123152709359606 ,0][0.5960591133004927 ,0][0.6650246305418719 ,0][0.6699507389162561 ,0][0.6748768472906403 ,0][0.6945812807881774 ,0][0.7044334975369458 ,0]",0.4673913043478261 ,"[0.2391304347826087 ,0][0.29347826086956524 ,0][0.30434782608695654 ,0][0.3695652173913043 ,0][0.391304347826087 ,0][0.41304347826086957 ,0][0.42391304347826086 ,0][0.44565217391304346 ,0][0.4673913043478261 ,0]",1.0 ,"[1.0 ,0]",0.8918918918918919 ,"[0.3088803088803089 ,0][0.49034749034749037 ,0][0.49613899613899615 ,0][0.7316602316602316 ,0][0.7876447876447876 ,0][0.8494208494208494 ,0][0.8532818532818532 ,0][0.859073359073359 ,0][0.861003861003861 ,0][0.8667953667953668 ,0][0.8822393822393823 ,0][0.8841698841698842 ,0][0.8918918918918919 ,0]",0.10526315789473684 ,"[0.07017543859649122 ,0][0.08771929824561403 ,0][0.10526315789473684 ,0]",1.0 ,"[0.46153846153846156 ,0][0.6153846153846154 ,0][0.6923076923076923 ,0][0.8461538461538461 ,0][0.9230769230769231 ,0][1.0 ,0]",0.4673913043478261 ,"[0.2391304347826087 ,0][0.29347826086956524 ,0][0.30434782608695654 ,0][0.3695652173913043 ,0][0.391304347826087 ,0][0.41304347826086957 ,0][0.42391304347826086 ,0][0.44565217391304346 ,0][0.4673913043478261 ,0]",
3,97_feudalismgame,src.Map,1.0,0,,0,,0,,0,,0,,0,,0,,
3,90_dcparseargs,de.devcity.parseargs.ArgsParser,1.0,0.8941176470588236 ,"[0.5882352941176471 ,0][0.6352941176470588 ,0][0.6588235294117647 ,0][0.6941176470588235 ,0][0.7176470588235294 ,0][0.7764705882352941 ,0][0.8588235294117647 ,0][0.8705882352941177 ,0][0.8941176470588236 ,0]",0.925 ,"[0.65 ,0][0.675 ,0][0.7125 ,0][0.725 ,0][0.7375 ,0][0.7875 ,0][0.8375 ,0][0.85 ,0][0.8625 ,0][0.9125 ,0][0.925 ,0]",1.0 ,"[1.0 ,0]",0.9495412844036697 ,"[0.6559633027522935 ,0][0.7018348623853211 ,0][0.9403669724770642 ,0][0.9495412844036697 ,0]",0.7931034482758621 ,"[0.4482758620689655 ,0][0.5172413793103449 ,0][0.5517241379310345 ,0][0.6206896551724138 ,0][0.6551724137931034 ,0][0.7586206896551724 ,0][0.7931034482758621 ,0]",1.0 ,"[1.0 ,0]",0.925 ,"[0.65 ,0][0.675 ,0][0.7125 ,0][0.725 ,0][0.7375 ,0][0.7875 ,0][0.8375 ,0][0.85 ,0][0.8625 ,0][0.9125 ,0][0.925 ,0]",
3,89_jiggler,jigl.image.types.InterpolatedColorImage,1.0,0.859375 ,"[0.515625 ,0][0.6875 ,0][0.703125 ,0][0.84375 ,0][0.859375 ,0]",1.0 ,"[0.7058823529411765 ,0][0.8823529411764706 ,0][0.9411764705882353 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.7725321888412017 ,"[0.30472103004291845 ,0][0.41630901287553645 ,0][0.4291845493562232 ,0][0.7725321888412017 ,0]",0.3333333333333333 ,"[0.06666666666666667 ,0][0.26666666666666666 ,0][0.3333333333333333 ,0]",1.0 ,"[0.7857142857142857 ,0][0.8571428571428571 ,0][0.9285714285714286 ,0][1.0 ,0]",1.0 ,"[0.6470588235294118 ,0][0.8823529411764706 ,0][0.9411764705882353 ,0][1.0 ,0]",
3,97_feudalismgame,src.CurrentPlayers,1.0,0,,0,,0,,0,,0,,0,,0,,
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.SffDataStoreBuilder,1.0,0.7297297297297297 ,"[0.16216216216216217 ,0][0.7027027027027027 ,0][0.7297297297297297 ,0]",0.55 ,"[0.1 ,0][0.5 ,0][0.55 ,0]",1.0 ,"[1.0 ,0]",0,,0.2 ,"[0.2 ,0]",0.3076923076923077 ,"[0.15384615384615385 ,0][0.3076923076923077 ,0]",0.5 ,"[0.1 ,0][0.45 ,0][0.5 ,0]",
3,97_feudalismgame,src.Actions,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,97_feudalismgame,src.XMLUpdater,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,96_heal,org.heal.servlet.tagcloud.TagBean,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,97_feudalismgame,src.XMLable,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,97_feudalismgame,src.King,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,91_classviewer,com.jstevh.viewer.SAXDirParser,1.0,0.8735632183908046 ,"[0.3333333333333333 ,0][0.367816091954023 ,0][0.5632183908045977 ,0][0.632183908045977 ,0][0.7126436781609196 ,0][0.7471264367816092 ,0][0.7931034482758621 ,0][0.8275862068965517 ,0][0.8735632183908046 ,0]",0.8333333333333334 ,"[0.3333333333333333 ,0][0.36666666666666664 ,0][0.5833333333333334 ,0][0.6333333333333333 ,0][0.7 ,0][0.7333333333333333 ,0][0.7666666666666667 ,0][0.7833333333333333 ,0][0.8333333333333334 ,0]",1.0 ,"[1.0 ,0]",0.9567307692307693 ,"[0.2692307692307692 ,0][0.3076923076923077 ,0][0.6923076923076923 ,0][0.7788461538461539 ,0][0.8317307692307693 ,0][0.875 ,0][0.9182692307692307 ,0][0.9375 ,0][0.9519230769230769 ,0][0.9567307692307693 ,0]",0.46153846153846156 ,"[0.3076923076923077 ,0][0.34615384615384615 ,0][0.38461538461538464 ,0][0.4230769230769231 ,0][0.46153846153846156 ,0]",1.0 ,"[1.0 ,0]",0.8333333333333334 ,"[0.3333333333333333 ,0][0.36666666666666664 ,0][0.5833333333333334 ,0][0.6333333333333333 ,0][0.7 ,0][0.7333333333333333 ,0][0.7666666666666667 ,0][0.7833333333333333 ,0][0.8333333333333334 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.SffWriterUtil,1.0,0.7384615384615385 ,"[0.3076923076923077 ,0][0.36923076923076925 ,0][0.38461538461538464 ,0][0.6461538461538462 ,0][0.676923076923077 ,0][0.7230769230769231 ,0][0.7384615384615385 ,0]",0.7777777777777778 ,"[0.4444444444444444 ,0][0.5555555555555556 ,0][0.6666666666666666 ,0][0.7777777777777778 ,0]",1.0 ,"[1.0 ,0]",0.7224489795918367 ,"[0.33877551020408164 ,0][0.4530612244897959 ,0][0.6979591836734694 ,0][0.7224489795918367 ,0]",0.2777777777777778 ,"[0.05555555555555555 ,0][0.16666666666666666 ,0][0.2222222222222222 ,0][0.2777777777777778 ,0]",0.8333333333333334 ,"[0.6666666666666666 ,0][0.8333333333333334 ,0]",0.7777777777777778 ,"[0.4444444444444444 ,0][0.5555555555555556 ,0][0.6666666666666666 ,0][0.7777777777777778 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.DefaultSffCommonHeader,1.0,0.9859154929577465 ,"[0.8309859154929577 ,0][0.9295774647887324 ,0][0.9436619718309859 ,0][0.971830985915493 ,0][0.9859154929577465 ,0]",0.9555555555555556 ,"[0.6444444444444445 ,0][0.8 ,0][0.8888888888888888 ,0][0.9333333333333333 ,0][0.9555555555555556 ,0]",1.0 ,"[0.5 ,0][1.0 ,0]",0.9315068493150684 ,"[0.821917808219178 ,0][0.8721461187214612 ,0][0.8858447488584474 ,0][0.9269406392694064 ,0][0.9315068493150684 ,0]",0.92 ,"[0.48 ,0][0.72 ,0][0.92 ,0]",0.5 ,"[0.5 ,0]",0.9555555555555556 ,"[0.6444444444444445 ,0][0.8 ,0][0.8888888888888888 ,0][0.9333333333333333 ,0][0.9555555555555556 ,0]",
3,97_feudalismgame,src.Mercenaries,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.LargeSffFileDataStore,1.0,0.1368421052631579 ,"[0.1368421052631579 ,0]",0.17073170731707318 ,"[0.17073170731707318 ,0]",1.0 ,"[1.0 ,0]",0.14814814814814814 ,"[0.14814814814814814 ,0]",0,,0.10526315789473684 ,"[0.10526315789473684 ,0]",0.17073170731707318 ,"[0.17073170731707318 ,0]",
3,88_jopenchart,de.progra.charting.test.TestChart,1.0,0.6639784946236559 ,"[0.6639784946236559 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.SffFlowgramImpl,1.0,0.6666666666666666 ,"[0.19753086419753085 ,0][0.38271604938271603 ,0][0.5925925925925926 ,0][0.6666666666666666 ,0]",0.5111111111111111 ,"[0.17777777777777778 ,0][0.2 ,0][0.4 ,0][0.5111111111111111 ,0]",1.0 ,"[1.0 ,0]",0.8075117370892019 ,"[0.18309859154929578 ,0][0.20657276995305165 ,0][0.7793427230046949 ,0][0.8075117370892019 ,0]",0.43243243243243246 ,"[0.02702702702702703 ,0][0.05405405405405406 ,0][0.1891891891891892 ,0][0.2972972972972973 ,0][0.32432432432432434 ,0][0.35135135135135137 ,0][0.3783783783783784 ,0][0.40540540540540543 ,0][0.43243243243243246 ,0]",1.0 ,"[0.2 ,0][0.7333333333333333 ,0][1.0 ,0]",0.5111111111111111 ,"[0.17777777777777778 ,0][0.2 ,0][0.4 ,0][0.5111111111111111 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.DefaultSffReadData,1.0,0.09302325581395349 ,"[0.09302325581395349 ,0]",0.11538461538461539 ,"[0.11538461538461539 ,0]",1.0 ,"[1.0 ,0]",0.009259259259259259 ,"[0.009259259259259259 ,0]",0,,0.14285714285714285 ,"[0.14285714285714285 ,0]",0.11538461538461539 ,"[0.11538461538461539 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.DefaultSffFileDataStore,1.0,0.3684210526315789 ,"[0.3684210526315789 ,0]",0.3 ,"[0.3 ,0]",1.0 ,"[1.0 ,0]",0,,0,,0.4 ,"[0.4 ,0]",0.2 ,"[0.2 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.DefaultSffReadHeader,1.0,1.0 ,"[0.972972972972973 ,0][1.0 ,0]",1.0 ,"[0.9615384615384616 ,0][1.0 ,0]",1.0 ,"[0.7 ,0][1.0 ,0]",0.9906542056074766 ,"[0.9813084112149533 ,0][0.9906542056074766 ,0]",0.7142857142857143 ,"[0.6428571428571429 ,0][0.7142857142857143 ,0]",0.7 ,"[0.7 ,0]",1.0 ,"[0.9615384615384616 ,0][1.0 ,0]",
3,89_jiggler,jigl.image.types.InterpolatedRealGrayImage,1.0,0.7559055118110236 ,"[0.2047244094488189 ,0][0.36220472440944884 ,0][0.5905511811023622 ,0][0.6929133858267716 ,0][0.7165354330708661 ,0][0.7322834645669292 ,0][0.7480314960629921 ,0][0.7559055118110236 ,0]",0.9117647058823529 ,"[0.23529411764705882 ,0][0.38235294117647056 ,0][0.5882352941176471 ,0][0.8529411764705882 ,0][0.8676470588235294 ,0][0.8970588235294118 ,0][0.9117647058823529 ,0]",1.0 ,"[1.0 ,0]",0.6831091180866966 ,"[0.07623318385650224 ,0][0.34977578475336324 ,0][0.5949177877428998 ,0][0.6203288490284006 ,0][0.6263079222720478 ,0][0.6292974588938715 ,0][0.6591928251121076 ,0][0.6651718983557549 ,0][0.6756352765321375 ,0][0.6831091180866966 ,0]",0.6818181818181818 ,"[0.36363636363636365 ,0][0.4090909090909091 ,0][0.45454545454545453 ,0][0.5909090909090909 ,0][0.6363636363636364 ,0][0.6818181818181818 ,0]",1.0 ,"[0.7272727272727273 ,0][0.8181818181818182 ,0][0.9090909090909091 ,0][1.0 ,0]",0.8823529411764706 ,"[0.19117647058823528 ,0][0.3382352941176471 ,0][0.5441176470588235 ,0][0.8235294117647058 ,0][0.8382352941176471 ,0][0.8676470588235294 ,0][0.8823529411764706 ,0]",
3,92_jcvi-javacommon,org.jcvi.jillion.trace.sff.SffWriterBuilder,1.0,0.4430379746835443 ,"[0.379746835443038 ,0][0.43037974683544306 ,0][0.4430379746835443 ,0]",0.5 ,"[0.4 ,0][0.4666666666666667 ,0][0.5 ,0]",1.0 ,"[1.0 ,0]",0.24761904761904763 ,"[0.20952380952380953 ,0][0.24761904761904763 ,0]",0.5 ,"[0.25 ,0][0.5 ,0]",0.5714285714285714 ,"[0.5714285714285714 ,0]",0.4666666666666667 ,"[0.36666666666666664 ,0][0.43333333333333335 ,0][0.4666666666666667 ,0]",
3,97_feudalismgame,src.Voting,1.0,1.0 ,"[0.7857142857142857 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,98_trans-locator,Joshua.FoxHunt.TrigPoint,1.0,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,93_quickserver,org.quickserver.net.server.AuthStatus,1.0,0.14285714285714285 ,"[0.14285714285714285 ,0]",0.3333333333333333 ,"[0.3333333333333333 ,0]",1.0 ,"[1.0 ,0]",0,,0.3333333333333333 ,"[0.3333333333333333 ,0]",1.0 ,"[1.0 ,0]",0.3333333333333333 ,"[0.3333333333333333 ,0]",
3,93_quickserver,org.quickserver.net.server.impl.OptimisticClientIdentifier,1.0,0.24285714285714285 ,"[0.24285714285714285 ,0]",0.16129032258064516 ,"[0.16129032258064516 ,0]",1.0 ,"[1.0 ,0]",0.0547945205479452 ,"[0.0547945205479452 ,0]",0,,1.0 ,"[1.0 ,0]",0.16129032258064516 ,"[0.16129032258064516 ,0]",
3,93_quickserver,org.quickserver.net.server.impl.RegisterChannelRequest,1.0,0.92 ,"[0.36 ,0][0.88 ,0][0.92 ,0]",1.0 ,"[0.2 ,0][0.6 ,0][0.95 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",0.967741935483871 ,"[0.0967741935483871 ,0][0.6129032258064516 ,0][0.8387096774193549 ,0][0.8709677419354839 ,0][0.9354838709677419 ,0][0.967741935483871 ,0]",0.47058823529411764 ,"[0.058823529411764705 ,0][0.23529411764705882 ,0][0.47058823529411764 ,0]",1.0 ,"[0.4444444444444444 ,0][0.8888888888888888 ,0][1.0 ,0]",1.0 ,"[0.2 ,0][0.6 ,0][0.95 ,0][1.0 ,0]",
3,93_quickserver,org.quickserver.net.server.DataMode,1.0,0.25 ,"[0.25 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0.3333333333333333 ,"[0.3333333333333333 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,93_quickserver,org.quickserver.net.server.DataType,1.0,0.25 ,"[0.25 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0.3333333333333333 ,"[0.3333333333333333 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,97_feudalismgame,src.SAXEncoder,1.0,1.0 ,"[0.7647058823529411 ,0][0.8823529411764706 ,0][1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
3,91_classviewer,com.jstevh.viewer.ClassInfo,1.0,0.9282296650717703 ,"[0.6124401913875598 ,0][0.7799043062200957 ,0][0.784688995215311 ,0][0.8277511961722488 ,0][0.8564593301435407 ,0][0.8660287081339713 ,0][0.9234449760765551 ,0][0.9282296650717703 ,0]",0.8095238095238095 ,"[0.3630952380952381 ,0][0.5476190476190477 ,0][0.5595238095238095 ,0][0.625 ,0][0.6666666666666666 ,0][0.6904761904761905 ,0][0.7023809523809523 ,0][0.7202380952380952 ,0][0.7797619047619048 ,0][0.7916666666666666 ,0][0.7976190476190477 ,0][0.8035714285714286 ,0][0.8095238095238095 ,0]",1.0 ,"[1.0 ,0]",0.8878842676311031 ,"[0.5497287522603979 ,0][0.6871609403254972 ,0][0.6907775768535263 ,0][0.7396021699819169 ,0][0.7721518987341772 ,0][0.7739602169981917 ,0][0.8842676311030742 ,0][0.8878842676311031 ,0]",0.5714285714285714 ,"[0.3333333333333333 ,0][0.38095238095238093 ,0][0.4523809523809524 ,0][0.5 ,0][0.5238095238095238 ,0][0.5476190476190477 ,0][0.5714285714285714 ,0]",1.0 ,"[0.7222222222222222 ,0][0.8333333333333334 ,0][0.8888888888888888 ,0][1.0 ,0]",0.7916666666666666 ,"[0.3273809523809524 ,0][0.4583333333333333 ,0][0.5119047619047619 ,0][0.5833333333333334 ,0][0.6071428571428571 ,0][0.6309523809523809 ,0][0.6785714285714286 ,0][0.6964285714285714 ,0][0.7559523809523809 ,0][0.7678571428571429 ,0][0.7738095238095238 ,0][0.7916666666666666 ,0]",
3,93_quickserver,org.quickserver.net.server.QuickAuthenticator,1.0,0,,0,,0,,0,,0,,0,,0,,
3,93_quickserver,org.quickserver.net.server.ClientEvent,1.0,0.25 ,"[0.25 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",0,,0.3333333333333333 ,"[0.3333333333333333 ,0]",1.0 ,"[1.0 ,0]",1.0 ,"[1.0 ,0]",
