TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
org.quickserver.net.server.GhostSocketReaper,180,209320,14,7,0.10695187165775401,0.08536585365853659,0.6,0.15151515151515152,2,0.13257575757575757
org.quickserver.net.server.ClientEvent,180,189636,2,1,0.25,1.0,0.3333333333333333,1.0,0,0.0
jigl.image.types.BinaryImage,180,425845,1060,114,0.9714285714285714,0.941747572815534,0.41818181818181815,0.9081632653061225,28,0.09861111111111111
org.quickserver.net.server.gui.About,180,226690,4,3,0.1557377049180328,0.8,1.0,0.0,2,0.0
jigl.image.types.TiledComplexMIPMap,180,472041,20,7,0.3333333333333333,0.18840579710144928,0.0,0.7507692307692307,5,0.0
edu.mscd.cs.jclo.JCLO,180,232636,151,59,0.6774193548387096,0.6090225563909775,0.3275862068965517,0.553133514986376,33,0.3148148148148148
com.sap.netweaver.porta.core.Credentials,180,17522,12,6,1.0,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.mock.DeployResultMock,180,23929,13,5,1.0,1.0,1.0,1.0,0,1.0
jigl.image.types.RealGrayImage,180,488625,1435,97,0.48024316109422494,0.43243243243243246,0.16625916870415647,0.28167539267015707,36,0.005644402634054563
com.sap.netweaver.porta.core.AuthenticationRefusedException,180,20477,4,2,1.0,1.0,1.0,1.0,0,1.0
src.GameController,180,193148,3,2,0.42857142857142855,1.0,1.0,1.0,1,0.0
src.CommandBean,180,193576,18,6,1.0,1.0,0.8888888888888888,1.0,0,1.0
src.GameCmdBean,180,196571,20,7,1.0,1.0,0.8888888888888888,1.0,0,1.0
src.SendObject,180,194346,5,2,0.47058823529411764,1.0,1.0,1.0,1,1.0
src.RollEvent,180,197960,15,6,0.5434782608695652,0.38461538461538464,1.0,0.8333333333333334,4,0.08695652173913043
com.sap.netweaver.porta.core.DebugSessionInfo,180,15604,12,6,1.0,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.CoreException,180,19634,5,3,1.0,1.0,1.0,1.0,0,1.0
src.Purchase,180,202472,80,22,0.11764705882352941,0.03571428571428571,1.0,0.006756756756756757,21,0.0
src.GameAutoActions,180,191876,4,4,0.36363636363636365,1.0,1.0,0.0,3,0.0
jigl.image.types.TiledImage,180,548379,531,59,0.8797814207650273,0.7717391304347826,0.375,0.7756906077348066,7,0.014899211218229623
Joshua.FoxHunt.FoxCalc,180,199599,15,6,1.0,1.0,0.8333333333333334,1.0,1,0.5274725274725275
Newzgrabber.StringCompare,180,192530,7,3,0.6666666666666666,0.6666666666666666,0.2,1.0,2,0.0
src.Vassals,180,200682,35,15,0.88,1.0,1.0,1.0,1,1.0
Newzgrabber.Status,180,194429,12,6,1.0,0.7777777777777778,0.8,0.8717948717948718,0,0.2619047619047619
com.sap.netweaver.porta.core.NotAuthorizedException,180,16359,6,4,1.0,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.NoWSGateException,180,21241,10,3,1.0,1.0,1.0,1.0,0,1.0
Newzgrabber.IniUtility,180,193652,12,6,0.6538461538461539,0.7,0.4444444444444444,0.42,0,0.04
Newzgrabber.SubjectParser,180,202483,25,13,0.6826923076923077,0.8387096774193549,0.6,0.8192090395480226,1,0.5363128491620112
Newzgrabber.SongInfo,180,202900,26,12,0.8181818181818182,0.8333333333333334,0.9166666666666666,0.68,0,0.4745762711864407
Newzgrabber.DirectoryDialog,180,216129,4,3,0.0,0.06382978723404255,0.0,0.0,3,0.0
Newzgrabber.NNTP,180,224774,7,4,0.288,0.09090909090909091,0.0,0.11627906976744186,1,0.0
Newzgrabber.CustomFileOutputStream,180,198421,15,8,0.8333333333333334,0.875,0.3333333333333333,0.782608695652174,1,0.32608695652173914
Newzgrabber.GroupsDialog,180,219887,2,1,0.0,0.037037037037037035,1.0,0.0,1,0.0
Newzgrabber.GroupsPanel,180,219034,1,1,0.0,0.02040816326530612,0.0,0.0,1,0.0
net.sourceforge.squirrel_sql.fw.util.PropertyChangeReporter,180,23980,30,9,1.0,1.0,1.0,1.0,0,0.06896551724137931
jigl.image.types.InterpolatedRealColorImage,180,566047,36,16,0.8448275862068966,1.0,0.4166666666666667,0.7028301886792453,10,0.3219178082191781
Newzgrabber.Search,180,195089,11,9,1.0,1.0,0.6666666666666666,0.9583333333333334,1,0.75
Newzgrabber.NewsFile,180,213614,21,15,1.0,1.0,0.8888888888888888,0.96875,0,0.796875
com.sap.netweaver.porta.core.snippets.SnippetPing,180,192774,3,2,0.6666666666666666,1.0,1.0,0.8571428571428571,0,0.0
net.sourceforge.squirrel_sql.fw.util.beanwrapper.StringWrapper,180,12877,8,3,1.0,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.snippets.SnippetGetApplications,180,191352,3,2,0.08333333333333333,0.14285714285714285,1.0,0.0,1,0.0
Newzgrabber.Newzgrabber,180,244350,26,11,0.1774891774891775,0.2948717948717949,0.6666666666666666,0.5178571428571429,3,0.04038772213247173
com.sap.netweaver.porta.core.snippets.SnippetGetHttpAccessPoint,180,191084,3,2,0.75,1.0,1.0,1.0,0,0.0
Newzgrabber.MultiLineLabel,180,270984,112,41,1.0,0.9705882352941176,0.8260869565217391,0.9317943336831059,10,0.4257620452310718
Newzgrabber.UUDecoder,180,271626,20,5,0.5409836065573771,0.48,1.0,0.39759036144578314,1,0.05389221556886228
com.sap.netweaver.porta.core.nw7.ServerFactory,180,195718,7,4,0.6842105263157895,0.5,0.0,0.7037037037037037,2,0.0
com.sap.netweaver.porta.core.nw7.FaultReasons,180,193160,5,3,0.4,1.0,0.2727272727272727,1.0,0,1.0
com.sap.netweaver.porta.core.nw7.CoreModuleImpl,180,195472,7,3,0.8888888888888888,0.75,1.0,1.0,1,0.0
com.sap.netweaver.porta.core.DeployResultStatus,180,194269,5,4,0.625,1.0,0.2,0.8666666666666667,0,0.8
Newzgrabber.Ini,180,253351,140,28,0.9789473684210527,0.9722222222222222,0.6666666666666666,0.9491525423728814,4,0.5537190082644629
com.sap.netweaver.porta.core.mock.ServerFactory,180,193117,4,2,1.0,1.0,0.5,1.0,0,1.0
com.sap.netweaver.porta.core.mock.ServerMock,180,194921,12,5,1.0,1.0,0.38461538461538464,1.0,0,1.0
com.sap.netweaver.porta.core.ServerState,180,192682,3,2,0.25,1.0,0.25,1.0,0,1.0
com.sap.netweaver.porta.core.mock.DeployManagerMock,180,197659,11,5,0.35,0.2,0.0,0.0,0,0.0
com.sap.netweaver.porta.core.mock.CoreModuleMock,180,198870,19,5,0.8571428571428571,0.6875,0.5,0.6666666666666666,1,0.06666666666666667
com.sap.netweaver.porta.core.mock.LifecycleManagerMock,180,197115,15,8,0.22033898305084745,0.2,0.3333333333333333,0.09523809523809523,2,0.0
com.sap.netweaver.porta.core.ServerFactory,180,193507,7,4,0.6428571428571429,0.8571428571428571,0.0,0.8148148148148148,0,0.0
com.eteks.sweethome3d.model.LightSource,180,29717,36,16,1.0,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.mock.ApplicationMock,180,222674,89,26,1.0,1.0,0.8636363636363636,0.9655172413793104,4,0.9655172413793104
com.eteks.sweethome3d.model.RecorderException,180,19105,3,2,1.0,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.ProxyException,180,190513,6,3,0.75,1.0,1.0,1.0,0,1.0
com.sap.netweaver.porta.core.ApplicationStatus,180,191351,5,4,0.625,1.0,0.3,0.92,0,0.84
com.eteks.sweethome3d.model.Sash,180,28605,30,15,1.0,1.0,1.0,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.BareBonesBrowserLaunch,180,194156,6,4,0.4583333333333333,0.42857142857142855,1.0,0.7796610169491526,3,0.0
net.sourceforge.squirrel_sql.fw.util.LocaleUtils,180,202361,12,2,1.0,1.0,0.3333333333333333,0.9333333333333333,1,0.0
Newzgrabber.BufferedCustomInputStream,180,386091,505,33,0.9058823529411765,0.6666666666666666,0.875,0.7307692307692307,4,0.26344086021505375
net.sourceforge.squirrel_sql.fw.util.FileWrapperFactoryImpl,180,202594,96,35,1.0,1.0,0.7619047619047619,1.0,11,1.0
net.sourceforge.squirrel_sql.fw.util.ExtensionFilter,180,196732,20,6,1.0,1.0,0.8,0.9148936170212766,1,0.8723404255319149
net.sourceforge.squirrel_sql.fw.util.FileExtensionFilter,180,197613,35,9,1.0,1.0,0.7142857142857143,0.8823529411764706,3,0.8333333333333334
net.sourceforge.squirrel_sql.fw.util.SystemProperties,180,189757,3,3,0.6,1.0,0.36363636363636365,1.0,0,1.0
com.eteks.sweethome3d.model.CollectionEvent,180,83030,29,9,1.0,1.0,1.0,1.0,2,1.0
net.sourceforge.squirrel_sql.fw.util.NullMessageHandler,180,193349,12,5,0.75,1.0,0.5,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.ListMessageHandler,180,195533,27,10,1.0,1.0,0.6666666666666666,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.beanwrapper.PointWrapperBeanInfo,180,189969,2,1,0.7142857142857143,1.0,0.3333333333333333,1.0,0,0.8333333333333334
net.sourceforge.squirrel_sql.fw.util.beanwrapper.DimensionWrapper,180,191567,31,10,1.0,1.0,0.9230769230769231,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.beanwrapper.DimensionWrapperBeanInfo,180,190340,2,1,0.7142857142857143,1.0,0.3333333333333333,1.0,0,0.8333333333333334
net.sourceforge.squirrel_sql.fw.util.beanwrapper.URLWrapperBeanInfo,180,190491,2,1,0.6666666666666666,1.0,0.3333333333333333,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.beanwrapper.PointWrapper,180,197026,31,11,1.0,1.0,0.9230769230769231,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.EmptyIterator,180,192978,6,3,1.0,1.0,0.25,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.beanwrapper.RectangleWrapper,180,203674,74,20,1.0,1.0,0.9777777777777777,1.0,0,1.0
net.sourceforge.squirrel_sql.fw.util.beanwrapper.URLWrapper,180,197865,18,7,1.0,1.0,0.5,1.0,0,1.0
com.eteks.sweethome3d.model.PatternsCatalog,180,201848,62,14,1.0,1.0,0.5652173913043478,0.875,4,0.5
net.sourceforge.squirrel_sql.fw.util.FileWrapperImpl,180,254936,361,155,0.9696969696969697,0.9324324324324325,0.7217391304347827,0.9305555555555556,47,0.5454545454545454
